Molecule,C_index,O_index,bond_CO,angle_O_C_X,dihedral_real,nu_CO_DFT,SCF_energy,Gibbs_energy,dipole,A_rot,B_rot,C_rot,charge_C,charge_O,lowdin_C,lowdin_O,mayer_CO,s_C,p_C,sp_ratio,HOMO,LUMO,gap,Epar_lowdin_MV_per_cm,nu_CO_exp,HOMO_1,LUMO_1,pi,pi_star
2-Butanone,5,10,1.209299990965848,122.03645455971704,-126.02613235662209,1785.28,-232.434913980382,-232.35339954,2.866604426,9585.226379,3592.960266,2745.2422,0.196982,-0.289579,-0.354158,0.131455,2.1117,3.183934,2.38948,0.7504803805606524,-0.251918,-0.018048,0.2338699999999999,57.686146397377655,1730.2913580246914,-0.347978262720957,0.0245709263036907,-0.443412744783976,0.752860835316643
2-Pentanone,9,11,1.209508706091031,122.19604885484718,140.5291907952866,1784.22,-271.738518431109,-271.62922766,2.752841465,6488.399664,2140.982758,1935.210877,0.205877,-0.29589,-0.352095,0.129919,2.0899,3.176189,2.387701,0.751750289419175,-0.251362,-0.019001,0.2323609999999999,54.98145171431531,1731.3051869722558,-0.336525502093131,0.025334440932563,-0.361994625679207,0.666282562037302
3-Pentanone,6,9,1.2095051060305615,121.9195733711426,-123.8231269189634,1782.67,-271.739018834108,-271.63066533,2.744504832,8966.59488,1948.751046,1665.792515,0.178943,-0.297864,-0.327665,0.13724,2.0772,3.193326,2.39509,0.7500299061229577,-0.250367,-0.016473,0.233894,71.67562752558739,1729.5107913669065,-0.346857956069205,0.022622708669752,-0.43552995202429,5.0563645312171
4-Methyl-3-penten-2-one,10,11,1.2182330506947348,124.65461804367462,173.9611366323944,1749.16,-309.82392626302,-309.71217215,2.972362537,5018.485282,1635.899995,1264.451641,0.275189,-0.332771,-0.351411,0.106347,2.0051,3.140742,2.362114,0.7520878824175944,-0.242971,-0.052703,0.190268,64.76155461074329,1699.728534,-0.262732378842259,0.0315144907368057,-0.415819319934673,4.98893639409617
4-Methylbenzaldehyde,5,12,1.2092363058513418,125.12233259193826,-0.0406478283817546,1768.16,-384.834676176846,-384.73090508,4.002692991,5033.939741,987.507706,829.782031,0.088183,-0.281783,-0.263734,0.10756,2.0992,3.266196,2.471807,0.7567846510129828,-0.259698,-0.068168,0.1915299999999999,3.284380829785647,1720.3699421965318,-0.261897313510098,-0.026692564591606,-0.430180732003786,4.35418365806163
4-Methylbenzoic_acid,11,12,1.2004252428956168,123.58956010902446,17.555070792202688,1816.02,-460.083967107648,-459.97584739,5.401003126,3788.851841,784.141081,658.319415,0.314855,-0.289672,-0.462236,0.12847,2.0963,3.046723,2.349673,0.7712132018565522,-0.265548,-0.057453,0.208095,-21.627776201096943,1758.0,-0.276728988867776,-0.0326660377650117,-0.444162362120113,4.51781221541704
Acetamide,1,6,1.215475490710117,122.1063649484642,-57.836973374445485,1765.19,-209.200229347865,-209.15497879,3.885002919,10887.60686,9272.561961,5167.314701,0.293925,-0.354946,-0.508985,0.061663,2.059,3.076387,2.366108,0.7691190997751584,-0.256195,0.018658,0.274853,-25.078533483200765,1602.0,-0.276707704487851,0.0217792773691468,-0.406755665365939,3.6660301272343
Acetanilide,13,15,1.2169395496001436,121.8491121895546,25.476251173197408,1748.39,-440.203867126465,-440.08279626,3.591954029,3471.414906,791.870059,682.373914,0.2594,-0.34753,-0.459375,0.069665,2.0647,3.087087,2.381088,0.7713057649492872,-0.237756,-0.028381,0.209375,-32.56686391564037,1602.0,-0.261568333078315,-0.0252987525822878,-0.411509540892811,4.72377080380121
Acetic_acid,3,5,1.195644111094518,124.9328847113646,0.0638938162725728,1853.58,-229.069276713028,-229.0349135,4.410196837,11014.75337,9613.154144,5302.79685,0.30191,-0.278101,-0.528281,0.128277,2.1277,3.090256,2.324599,0.7522350899084089,-0.284282,-0.00089,0.283392,-47.89490136710759,1758.0,-0.329800337917394,0.00361279357567134,-0.479740404373019,4.66461598563315
Acetic_anhydride,1,7,1.1904598223837717,127.01347231552144,-6.67003633005886,1885.04,-381.706501224594,-381.64110257,3.862407233,5502.931196,1780.333387,1540.983327,0.311398,-0.245761,-0.456929,0.162203,2.1502,3.122402,2.28339,0.7312927675552346,-0.285682,-0.035032,0.25065,-47.91624439526305,1831.3956043956043,-0.305256915691336,0.0045109283764391,-0.460045564270024,0.378674764008009
